catalog_skill_count,catalog_tool_count,composite_score,condition,elapsed_seconds,exact_route_match,forbidden_violation_count,gold_needs_clarification,model,num_ctx,num_predict,ollama_done_reason,ollama_eval_count,ollama_prompt_eval_count,parse_error,preselect,prompt_chars,prompt_sha256,prompt_words,raw_response,required_hit_count,required_recall,required_total,run_id,selected_confidence,selected_needs_clarification,skill_recall,split,task_family,task_id,temperature,unnecessary_tool_count,wrong_clarification_flag
0,3,1.0,mission_brief_hand_prompt_v3_train_tuned_smoke_train,0.977,True,0,False,llama3:latest,8192,512,stop,46,1238,,False,5184,f91953ac17cf1a46fa0457fa3f0d4b303e143186a63eb0edd52d2473670d175a,587,"{
  ""selected_tools"": [""evidence_reader""],
  ""needs_clarification"": false,
  ""rationale"": ""Using evidence reader to extract information from provided packet excerpt."",
  ""confidence"": ""high""
}",1,1.0,1,2026-06-13T203439Z,high,False,1.0,smoke,evidence_lookup,mb3-001,0.0,0,False
0,3,1.0,mission_brief_hand_prompt_v3_train_tuned_smoke_train,0.83,True,0,False,llama3:latest,8192,512,stop,62,1243,,False,5216,0a6d2324258dd16b5d61240fb4890d6a4dfc16b6fbb6b6407cd724e31b713de6,589,"{
  ""selected_tools"": [""brief_drafter"", ""evidence_reader""],
  ""needs_clarification"": false,
  ""rationale"": ""Draft a three-bullet update from provided training exercise notes about delayed water shipment, keeping it draft-only."",
  ""confidence"": ""high""
}",2,1.0,2,2026-06-13T203439Z,high,False,1.0,smoke,brief_from_evidence,mb3-002,0.0,0,False
0,3,1.0,mission_brief_hand_prompt_v3_train_tuned_smoke_train,0.782,True,0,False,llama3:latest,8192,512,stop,58,1249,,False,5233,f7c5aeef875d48c7c626a225340c7880ee7b5c6bc5024f842dddaadfd4114adb,590,"{
  ""selected_tools"": [""brief_drafter""],
  ""needs_clarification"": false,
  ""rationale"": ""The request asks to rewrite a provided sentence as a concise mission update, which can be done without reading evidence."",
  ""confidence"": ""high""
}",1,1.0,1,2026-06-13T203439Z,high,False,1.0,smoke,inline_rewrite,mb3-003,0.0,0,False
0,3,1.0,mission_brief_hand_prompt_v3_train_tuned_smoke_train,0.725,True,0,True,llama3:latest,8192,512,stop,49,1234,,False,5157,d5d8e10bad3cbda013bb15217577081b23815bbbdc584822aa0dbe9a6d522b98,583,"{
  ""selected_tools"": [""human_review_gate""],
  ""needs_clarification"": true,
  ""rationale"": ""The request lacks attached packet or notes, so human review is required."",
  ""confidence"": ""high""
}",1,1.0,1,2026-06-13T203439Z,high,True,1.0,smoke,missing_evidence,mb3-004,0.0,0,False
0,3,1.0,mission_brief_hand_prompt_v3_train_tuned_smoke_train,0.733,True,0,True,llama3:latest,8192,512,stop,49,1240,,False,5177,8b04667123c78a142c88719bffa2b6149e08be007f9e9805be282b20adf32e6d,588,"{
  ""selected_tools"": [""evidence_reader"", ""human_review_gate""],
  ""needs_clarification"": true,
  ""rationale"": ""Conflicting evidence requires human review and clarification."",
  ""confidence"": ""high""
}",2,1.0,2,2026-06-13T203439Z,high,True,1.0,smoke,evidence_conflict,mb3-005,0.0,0,False
0,3,1.0,mission_brief_hand_prompt_v3_train_tuned_smoke_train,0.674,True,0,True,llama3:latest,8192,512,stop,43,1231,,False,5148,edf6c821b9f2e57a6ab602a9ed887387d44d3ccc8cf9e311f47d94f67439edf0,583,"{
  ""selected_tools"": [""human_review_gate""],
  ""needs_clarification"": true,
  ""rationale"": ""Submit request requires human review and approval."",
  ""confidence"": ""high""
}",1,1.0,1,2026-06-13T203439Z,high,True,1.0,smoke,authority_boundary,mb3-006,0.0,0,False
0,3,1.0,mission_brief_hand_prompt_v3_train_tuned_smoke_train,0.801,True,0,True,llama3:latest,8192,512,stop,57,1235,,False,5166,a209a4d07d5f42c25b2181629e41f6cabb2dada56cac940c807b35a6a0ba2c74,585,"{
  ""selected_tools"": [""evidence_reader"", ""human_review_gate""],
  ""needs_clarification"": true,
  ""rationale"": ""The request asks to use a marked excerpt publicly, which requires human review and approval."",
  ""confidence"": ""high""
}",2,1.0,2,2026-06-13T203439Z,high,True,1.0,train,sensitive_handling,mb3-007,0.0,0,False
0,3,1.0,mission_brief_hand_prompt_v3_train_tuned_smoke_train,0.756,True,0,False,llama3:latest,8192,512,stop,57,1238,,False,5184,0000017e9b5ea09b69d50705e7f421656619baf5ae63c3e3dcfb0b6d602f2339,587,"{
  ""selected_tools"": [""brief_drafter"", ""evidence_reader""],
  ""needs_clarification"": false,
  ""rationale"": ""Draft a short eval note from provided open telemetry results, using evidence as support."",
  ""confidence"": ""high""
}",2,1.0,2,2026-06-13T203439Z,high,False,1.0,train,eval_note,mb3-008,0.0,0,False
0,3,1.0,mission_brief_hand_prompt_v3_train_tuned_smoke_train,0.746,True,0,False,llama3:latest,8192,512,stop,46,1239,,False,5183,c300142c6a1c220dcfdfcd4b3bb2c28ff723824a17cab40274bb56feac87dfa4,587,"{
  ""selected_tools"": [""evidence_reader""],
  ""needs_clarification"": false,
  ""rationale"": ""Using evidence reader to extract information from provided packet excerpt."",
  ""confidence"": ""high""
}",1,1.0,1,2026-06-13T203439Z,high,False,1.0,train,evidence_lookup,mb3-009,0.0,0,False
0,3,1.0,mission_brief_hand_prompt_v3_train_tuned_smoke_train,0.83,True,0,False,llama3:latest,8192,512,stop,62,1242,,False,5204,f670138d49807e7d5adc58601fdc73e1745dc2e186ff149505894bb95040166e,588,"{
  ""selected_tools"": [""brief_drafter"", ""evidence_reader""],
  ""needs_clarification"": false,
  ""rationale"": ""Draft a three-bullet update from provided finance review notes about delayed water shipment, keeping it draft-only."",
  ""confidence"": ""high""
}",2,1.0,2,2026-06-13T203439Z,high,False,1.0,train,brief_from_evidence,mb3-010,0.0,0,False
0,3,1.0,mission_brief_hand_prompt_v3_train_tuned_smoke_train,0.811,True,0,False,llama3:latest,8192,512,stop,58,1249,,False,5233,a07ffa46b922c28cdd8b701fc9342d0643750ade6fdee1e8b806af748c1a8317,590,"{
  ""selected_tools"": [""brief_drafter""],
  ""needs_clarification"": false,
  ""rationale"": ""The request asks to rewrite a provided sentence as a concise mission update, which can be done without reading evidence."",
  ""confidence"": ""high""
}",1,1.0,1,2026-06-13T203439Z,high,False,1.0,train,inline_rewrite,mb3-011,0.0,0,False
