run_id,condition,model,context_policy,repeat_index,question_id,question_type,judge_correct,judge_model,judge_provider,judge_error,heuristic_correct,token_f1,evidence_session_hit,recall_any@1,recall_any@3,recall_any@5,recall_all@3,recall_all@5,ndcg_any@3,ndcg_any@5,mrr,answer_semantic_similarity,gold_context_similarity,pred_context_similarity,semantic_grounding_index,semantic_metric_error,selected_session_count,total_haystack_sessions,context_words,context_chars,context_truncated,elapsed_sec,parse_error,question,gold_answer,raw_response,judge_raw_response,selected_session_ids,answer_session_ids
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,1,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,53,1881,12024,True,1.046238152001024,,What degree did I graduate with?,Business Administration,I don't know.,no,['answer_280352e9'],['answer_280352e9']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,1,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,45,1927,12024,True,5.255478490998939,,How long is my daily commute to work?,45 minutes each way,I don't know.,no,['answer_40a90d51'],['answer_40a90d51']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,1,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,50,1842,11195,False,1.0714089870016323,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know.,no,['answer_d61669c7'],['answer_d61669c7']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,2,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,53,1881,12024,True,0.6538569559997995,,What degree did I graduate with?,Business Administration,I don't know.,no,['answer_280352e9'],['answer_280352e9']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,2,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,45,1927,12024,True,0.6417629570023564,,How long is my daily commute to work?,45 minutes each way,I don't know.,no,['answer_40a90d51'],['answer_40a90d51']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,2,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,50,1842,11195,False,0.673904457999015,,Where did I redeem a $5 coupon on coffee creamer?,Target,I redeemed a $5 coupon on coffee creamer last Sunday.,no,['answer_d61669c7'],['answer_d61669c7']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,3,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,53,1881,12024,True,0.619319578003342,,What degree did I graduate with?,Business Administration,I don't know.,no,['answer_280352e9'],['answer_280352e9']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,3,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,45,1927,12024,True,0.6824654170013673,,How long is my daily commute to work?,45 minutes each way,I don't know.,no,['answer_40a90d51'],['answer_40a90d51']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,3,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,50,1842,11195,False,0.6200244149986247,,Where did I redeem a $5 coupon on coffee creamer?,Target,I redeemed a $5 coupon on coffee creamer last Sunday.,no,['answer_d61669c7'],['answer_d61669c7']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,4,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,53,1881,12024,True,0.623595821998606,,What degree did I graduate with?,Business Administration,I don't know.,no,['answer_280352e9'],['answer_280352e9']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,4,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,45,1927,12024,True,0.6795536059980805,,How long is my daily commute to work?,45 minutes each way,I don't know.,no,['answer_40a90d51'],['answer_40a90d51']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,4,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,50,1842,11195,False,0.7184965670021484,,Where did I redeem a $5 coupon on coffee creamer?,Target,I redeemed a $5 coupon on coffee creamer last Sunday.,no,['answer_d61669c7'],['answer_d61669c7']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,5,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,53,1881,12024,True,0.625999486001092,,What degree did I graduate with?,Business Administration,I don't know.,no,['answer_280352e9'],['answer_280352e9']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,5,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,45,1927,12024,True,0.6750895359982678,,How long is my daily commute to work?,45 minutes each way,I don't know.,no,['answer_40a90d51'],['answer_40a90d51']
2026-06-14T165926Z,gpt54_judge_frozen_reader_s_first3_answer_sessions,ollama_chat/llama3:latest,answer_sessions,5,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,nan,nan,nan,nan,,1,50,1842,11195,False,0.6918034529990109,,Where did I redeem a $5 coupon on coffee creamer?,Target,I redeemed a $5 coupon on coffee creamer last Sunday.,no,['answer_d61669c7'],['answer_d61669c7']
