run_id,condition,model,context_policy,repeat_index,question_id,question_type,heuristic_correct,token_f1,evidence_session_hit,selected_session_count,total_haystack_sessions,context_words,context_chars,context_truncated,elapsed_sec,parse_error,question,gold_answer,raw_response,selected_session_ids,answer_session_ids
2026-06-14T153321Z,marked_answer_turns_5run_slice,ollama_chat/llama3:latest,marked_answer_turns,1,gpt4_2655b836,temporal-reasoning,False,0.0,True,2,3,138,783,False,0.5276602060002915,,What was the first issue I had with my new car after its first service?,GPS system not functioning correctly,I don't know.,"['answer_4be1b6b4_2', 'answer_4be1b6b4_3']","['answer_4be1b6b4_2', 'answer_4be1b6b4_3', 'answer_4be1b6b4_1']"
2026-06-14T153321Z,marked_answer_turns_5run_slice,ollama_chat/llama3:latest,marked_answer_turns,1,gpt4_2487a7cb,temporal-reasoning,False,0.0,True,2,2,154,988,False,0.3957846339981188,,"Which event did I attend first, the 'Effective Time Management' workshop or the 'Data Analysis using Python' webinar?",'Data Analysis using Python' webinar,I attended the 'Effective Time Management' workshop first.,"['answer_1c6b85ea_1', 'answer_1c6b85ea_2']","['answer_1c6b85ea_1', 'answer_1c6b85ea_2']"
2026-06-14T153321Z,marked_answer_turns_5run_slice,ollama_chat/llama3:latest,marked_answer_turns,1,gpt4_76048e76,temporal-reasoning,True,0.6666666666666666,True,2,2,136,779,False,0.3699066840017622,,"Which vehicle did I take care of first in February, the bike or the car?",bike,The bike.,"['answer_b535969f_2', 'answer_b535969f_1']","['answer_b535969f_2', 'answer_b535969f_1']"
2026-06-14T153321Z,marked_answer_turns_5run_slice,ollama_chat/llama3:latest,marked_answer_turns,2,gpt4_2655b836,temporal-reasoning,False,0.0,True,2,3,138,783,False,0.37065029199948185,,What was the first issue I had with my new car after its first service?,GPS system not functioning correctly,I don't know.,"['answer_4be1b6b4_2', 'answer_4be1b6b4_3']","['answer_4be1b6b4_2', 'answer_4be1b6b4_3', 'answer_4be1b6b4_1']"
2026-06-14T153321Z,marked_answer_turns_5run_slice,ollama_chat/llama3:latest,marked_answer_turns,2,gpt4_2487a7cb,temporal-reasoning,False,0.0,True,2,2,154,988,False,0.46567468600187567,,"Which event did I attend first, the 'Effective Time Management' workshop or the 'Data Analysis using Python' webinar?",'Data Analysis using Python' webinar,I attended the 'Effective Time Management' workshop first.,"['answer_1c6b85ea_1', 'answer_1c6b85ea_2']","['answer_1c6b85ea_1', 'answer_1c6b85ea_2']"
2026-06-14T153321Z,marked_answer_turns_5run_slice,ollama_chat/llama3:latest,marked_answer_turns,2,gpt4_76048e76,temporal-reasoning,True,0.6666666666666666,True,2,2,136,779,False,0.39858189599908656,,"Which vehicle did I take care of first in February, the bike or the car?",bike,The bike.,"['answer_b535969f_2', 'answer_b535969f_1']","['answer_b535969f_2', 'answer_b535969f_1']"
2026-06-14T153321Z,marked_answer_turns_5run_slice,ollama_chat/llama3:latest,marked_answer_turns,3,gpt4_2655b836,temporal-reasoning,False,0.0,True,2,3,138,783,False,0.4257085509998433,,What was the first issue I had with my new car after its first service?,GPS system not functioning correctly,I don't know.,"['answer_4be1b6b4_2', 'answer_4be1b6b4_3']","['answer_4be1b6b4_2', 'answer_4be1b6b4_3', 'answer_4be1b6b4_1']"
2026-06-14T153321Z,marked_answer_turns_5run_slice,ollama_chat/llama3:latest,marked_answer_turns,3,gpt4_2487a7cb,temporal-reasoning,False,0.0,True,2,2,154,988,False,0.45027757300340454,,"Which event did I attend first, the 'Effective Time Management' workshop or the 'Data Analysis using Python' webinar?",'Data Analysis using Python' webinar,I attended the 'Effective Time Management' workshop first.,"['answer_1c6b85ea_1', 'answer_1c6b85ea_2']","['answer_1c6b85ea_1', 'answer_1c6b85ea_2']"
2026-06-14T153321Z,marked_answer_turns_5run_slice,ollama_chat/llama3:latest,marked_answer_turns,3,gpt4_76048e76,temporal-reasoning,True,0.6666666666666666,True,2,2,136,779,False,0.42691934399772435,,"Which vehicle did I take care of first in February, the bike or the car?",bike,The bike.,"['answer_b535969f_2', 'answer_b535969f_1']","['answer_b535969f_2', 'answer_b535969f_1']"
2026-06-14T153321Z,marked_answer_turns_5run_slice,ollama_chat/llama3:latest,marked_answer_turns,4,gpt4_2655b836,temporal-reasoning,False,0.0,True,2,3,138,783,False,0.4002283349982463,,What was the first issue I had with my new car after its first service?,GPS system not functioning correctly,I don't know.,"['answer_4be1b6b4_2', 'answer_4be1b6b4_3']","['answer_4be1b6b4_2', 'answer_4be1b6b4_3', 'answer_4be1b6b4_1']"
2026-06-14T153321Z,marked_answer_turns_5run_slice,ollama_chat/llama3:latest,marked_answer_turns,4,gpt4_2487a7cb,temporal-reasoning,False,0.0,True,2,2,154,988,False,0.4626512240029115,,"Which event did I attend first, the 'Effective Time Management' workshop or the 'Data Analysis using Python' webinar?",'Data Analysis using Python' webinar,I attended the 'Effective Time Management' workshop first.,"['answer_1c6b85ea_1', 'answer_1c6b85ea_2']","['answer_1c6b85ea_1', 'answer_1c6b85ea_2']"
2026-06-14T153321Z,marked_answer_turns_5run_slice,ollama_chat/llama3:latest,marked_answer_turns,4,gpt4_76048e76,temporal-reasoning,True,0.6666666666666666,True,2,2,136,779,False,0.36116629100069986,,"Which vehicle did I take care of first in February, the bike or the car?",bike,The bike.,"['answer_b535969f_2', 'answer_b535969f_1']","['answer_b535969f_2', 'answer_b535969f_1']"
