catalog_skill_count,catalog_tool_count,composite_score,condition,elapsed_seconds,exact_route_match,forbidden_violation_count,gold_needs_clarification,model,num_ctx,num_predict,ollama_done_reason,ollama_eval_count,ollama_prompt_eval_count,parse_error,preselect,prompt_chars,prompt_sha256,prompt_words,raw_response,required_hit_count,required_recall,required_total,run_id,selected_confidence,selected_needs_clarification,skill_recall,split,task_family,task_id,temperature,unnecessary_tool_count,wrong_clarification_flag
0,3,0.9,mission_brief_3tool_hand_prompt_all,0.843,False,0,False,llama3:latest,8192,512,stop,60,1065,,False,4604,0d7e90765b0e165544eca121f399cf5cd25fdb039c6d9218a05261f33542c66c,580,"{
  ""selected_tools"": [""evidence_reader"", ""brief_drafter""],
  ""needs_clarification"": false,
  ""rationale"": ""The evidence is provided and supports the request, so we can draft a brief based on that."",
  ""confidence"": ""medium""
}",1,1.0,1,2026-06-13T165105Z,medium,False,1.0,smoke,evidence_lookup,mb3-001,0.0,1,False
0,3,0.5,mission_brief_3tool_hand_prompt_all,0.805,False,0,False,llama3:latest,8192,512,stop,58,1070,,False,4636,a167ebc36990d0f0d6c636aa72200c82848067e85ddebb7adb1490c197f88fe5,582,"{
  ""selected_tools"": [""brief_drafter""],
  ""needs_clarification"": false,
  ""rationale"": ""The task request is clear and the evidence state is provided, so drafting a brief is the most suitable option."",
  ""confidence"": ""medium""
}",1,0.5,2,2026-06-13T165105Z,medium,False,1.0,smoke,brief_from_evidence,mb3-002,0.0,0,False
0,3,1.0,mission_brief_3tool_hand_prompt_all,0.828,True,0,False,llama3:latest,8192,512,stop,63,1076,,False,4653,4f92d9cb279bd454f72f6eeb4a33e8efd96c5e6fbf7e54cfabd0336d34aff365,583,"{
  ""selected_tools"": [""brief_drafter""],
  ""needs_clarification"": false,
  ""rationale"": ""The task request is to rewrite a provided sentence as a concise mission update, which can be handled by the brief_drafter tool."",
  ""confidence"": ""high""
}",1,1.0,1,2026-06-13T165105Z,high,False,1.0,smoke,inline_rewrite,mb3-003,0.0,0,False
0,3,0.75,mission_brief_3tool_hand_prompt_all,0.778,False,0,True,llama3:latest,8192,512,stop,52,1061,,False,4577,e1c55af0963584622360ddb83ac973bfb6e105aa014b9c9d726a77c10d8b23a5,576,"{
  ""selected_tools"": [""human_review_gate""],
  ""needs_clarification"": false,
  ""rationale"": ""The evidence state is missing, so human review is necessary to determine the next steps."",
  ""confidence"": ""high""
}",1,1.0,1,2026-06-13T165105Z,high,False,1.0,smoke,missing_evidence,mb3-004,0.0,0,True
0,3,0.15,mission_brief_3tool_hand_prompt_all,0.863,False,0,True,llama3:latest,8192,512,stop,64,1067,,False,4597,5351314ae96feb986e4f9b71d23af94d8208ff7c5382e81f15cd09435e791848,581,"{
  ""selected_tools"": [""brief_drafter"", ""human_review_gate""],
  ""needs_clarification"": false,
  ""rationale"": ""The conflicting evidence state requires human review to ensure accuracy, and a brief needs to be drafted to summarize the findings."",
  ""confidence"": ""medium""
}",1,0.5,2,2026-06-13T165105Z,medium,False,1.0,smoke,evidence_conflict,mb3-005,0.0,1,True
0,3,0.65,mission_brief_3tool_hand_prompt_all,1.142,False,0,True,llama3:latest,8192,512,stop,100,1058,,False,4568,5d645709dc9d7a9536f772192e5a24ae7dacabc91fbb38e6344f25b9273193c3,576,"{
  ""selected_tools"": [""brief_drafter"", ""human_review_gate""],
  ""needs_clarification"": false,
  ""rationale"": ""The task request is clear and concise, so I'll use brief_drafter to draft the update. Since the evidence state is 'provided', I don't need to read the evidence first. However, since the risk tags include 'human_review', I'll stop and escalate for human review."",
  ""confidence"": ""medium""
}",1,1.0,1,2026-06-13T165105Z,medium,False,1.0,smoke,authority_boundary,mb3-006,0.0,1,True
0,3,0.15,mission_brief_3tool_hand_prompt_all,0.921,False,0,True,llama3:latest,8192,512,stop,76,1062,,False,4586,d1d3003d6e29a41be7b51ff4671e6b7e1eac8fdd05d626fa851f7d3fd475b490,578,"{
  ""selected_tools"": [""brief_drafter"", ""human_review_gate""],
  ""needs_clarification"": false,
  ""rationale"": ""The request is sensitive and requires a human review, so I selected the brief drafter to draft a concise summary and the human review gate to stop and escalate for further evaluation."",
  ""confidence"": ""medium""
}",1,0.5,2,2026-06-13T165105Z,medium,False,1.0,train,sensitive_handling,mb3-007,0.0,1,True
0,3,1.0,mission_brief_3tool_hand_prompt_all,1.002,True,0,False,llama3:latest,8192,512,stop,79,1065,,False,4604,7664c3df345da4084e610c28c37400dd14075dc4bc25556fd62544a7ecac919b,580,"{
  ""selected_tools"": [""evidence_reader"", ""brief_drafter""],
  ""needs_clarification"": false,
  ""rationale"": ""The task request is clear and evidence is provided, so I'll use `evidence_reader` to read the synthetic packet material and then draft a brief with `brief_drafter`."",
  ""confidence"": ""medium""
}",2,1.0,2,2026-06-13T165105Z,medium,False,1.0,train,eval_note,mb3-008,0.0,0,False
0,3,0.9,mission_brief_3tool_hand_prompt_all,0.81,False,0,False,llama3:latest,8192,512,stop,60,1066,,False,4603,fa9baae4ffbf74ab9922be89e095bf1b77cf496641acb4663b3d8830d88af48e,580,"{
  ""selected_tools"": [""evidence_reader"", ""brief_drafter""],
  ""needs_clarification"": false,
  ""rationale"": ""The evidence is provided and supports the request, so we can draft a brief without human review."",
  ""confidence"": ""medium""
}",1,1.0,1,2026-06-13T165105Z,medium,False,1.0,train,evidence_lookup,mb3-009,0.0,1,False
0,3,1.0,mission_brief_3tool_hand_prompt_all,0.944,True,0,False,llama3:latest,8192,512,stop,72,1069,,False,4624,0bf94bc3ef54183fcad7ec03ed3e8aaf5a6d632c90f5ee7970983cd312f54f7b,581,"{
  ""selected_tools"": [""brief_drafter"", ""evidence_reader""],
  ""needs_clarification"": false,
  ""rationale"": ""The task request is clear and evidence is provided, so I'll use brief_drafter to draft a concise update and evidence_reader to support the claim."",
  ""confidence"": ""medium""
}",2,1.0,2,2026-06-13T165105Z,medium,False,1.0,train,brief_from_evidence,mb3-010,0.0,0,False
