run_id,condition,model,reader,context_format,context_policy,repeat_index,question_id,question_type,judge_correct,judge_model,judge_provider,judge_error,heuristic_correct,token_f1,evidence_session_hit,recall_any@1,recall_any@3,recall_any@5,recall_all@3,recall_all@5,ndcg_any@3,ndcg_any@5,mrr,answer_semantic_similarity,gold_context_similarity,pred_context_similarity,semantic_grounding_index,semantic_metric_error,selected_session_count,total_haystack_sessions,context_words,context_chars,context_truncated,elapsed_sec,parse_error,question,gold_answer,raw_response,evidence_quote,judge_raw_response,selected_session_ids,answer_session_ids
2026-06-14T173450Z,structured_evidence_gpt54_s_first3_recent,ollama_chat/llama3:latest,evidence_answer,structured,recent,1,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,0.0,1.0,1.0,1.0,1.0,0.6309297535714575,0.6309297535714575,0.5,nan,nan,nan,nan,,2,53,1905,12370,True,2.5753031209969777,,What degree did I graduate with?,Business Administration,I don't know,NOT_FOUND,no,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
2026-06-14T173450Z,structured_evidence_gpt54_s_first3_recent,ollama_chat/llama3:latest,evidence_answer,structured,recent,1,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,45,2024,12375,True,6.162017954000476,,How long is my daily commute to work?,45 minutes each way,I don't know,NOT_FOUND,no,"['sharegpt_M3x4mZx_0', 'ultrachat_246088']",['answer_40a90d51']
2026-06-14T173450Z,structured_evidence_gpt54_s_first3_recent,ollama_chat/llama3:latest,evidence_answer,structured,recent,1,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,50,2064,12387,True,6.513968508003018,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,I think I'll just focus on the MCU movies for now.,no,"['sharegpt_EYVyehy_0', '217debf7']",['answer_d61669c7']
2026-06-14T173450Z,structured_evidence_gpt54_s_first3_recent,ollama_chat/llama3:latest,evidence_answer,structured,recent,2,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,0.0,1.0,1.0,1.0,1.0,0.6309297535714575,0.6309297535714575,0.5,nan,nan,nan,nan,,2,53,1905,12370,True,1.02774676899935,,What degree did I graduate with?,Business Administration,I don't know,NOT_FOUND,no,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
2026-06-14T173450Z,structured_evidence_gpt54_s_first3_recent,ollama_chat/llama3:latest,evidence_answer,structured,recent,2,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,45,2024,12375,True,5.2170531429983384,,How long is my daily commute to work?,45 minutes each way,I don't know,NOT_FOUND,no,"['sharegpt_M3x4mZx_0', 'ultrachat_246088']",['answer_40a90d51']
2026-06-14T173450Z,structured_evidence_gpt54_s_first3_recent,ollama_chat/llama3:latest,evidence_answer,structured,recent,2,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,50,2064,12387,True,5.245620413999859,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,I think I'll just focus on the MCU movies for now.,no,"['sharegpt_EYVyehy_0', '217debf7']",['answer_d61669c7']
2026-06-14T173450Z,structured_evidence_gpt54_s_first3_recent,ollama_chat/llama3:latest,evidence_answer,structured,recent,3,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,0.0,1.0,1.0,1.0,1.0,0.6309297535714575,0.6309297535714575,0.5,nan,nan,nan,nan,,2,53,1905,12370,True,1.0678593989978253,,What degree did I graduate with?,Business Administration,I don't know,NOT_FOUND,no,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
2026-06-14T173450Z,structured_evidence_gpt54_s_first3_recent,ollama_chat/llama3:latest,evidence_answer,structured,recent,3,118b2229,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,45,2024,12375,True,5.25325173300007,,How long is my daily commute to work?,45 minutes each way,I don't know,NOT_FOUND,no,"['sharegpt_M3x4mZx_0', 'ultrachat_246088']",['answer_40a90d51']
2026-06-14T173450Z,structured_evidence_gpt54_s_first3_recent,ollama_chat/llama3:latest,evidence_answer,structured,recent,3,51a45a95,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,,2,50,2064,12387,True,5.292641010000807,,Where did I redeem a $5 coupon on coffee creamer?,Target,I don't know,I think I'll just focus on the MCU movies for now.,no,"['sharegpt_EYVyehy_0', '217debf7']",['answer_d61669c7']
2026-06-14T173450Z,structured_evidence_gpt54_s_first3_recent,ollama_chat/llama3:latest,evidence_answer,structured,recent,4,e47becba,single-session-user,False,gpt-5.4,codex-bridge,,False,0.0,True,0.0,1.0,1.0,1.0,1.0,0.6309297535714575,0.6309297535714575,0.5,nan,nan,nan,nan,,2,53,1905,12370,True,1.0516469050016894,,What degree did I graduate with?,Business Administration,I don't know,NOT_FOUND,no,"['ultrachat_486410', 'answer_280352e9']",['answer_280352e9']
